face_id,age,gender,relationship,music_genre,band,team,first_name,last_name,education,education_prompt,work,work_prompt,fav_movie_1,fav_movie_2,fav_book_1,fav_book_2,fav_book_3,fav_auth_1,fav_auth_2,fav_auth_3,fav_food_1,fav_food_2,fav_food_3,home_city,home_state,languages,hogwarts,fav_pet,vg_genre,fav_video_game,spouse_id,n_friends,credit,gender_female,gender_male,relationship_married,relationship_single,relationship_widowed,music_genre_classical,music_genre_country,music_genre_electronic,music_genre_folk,music_genre_heavy metal,music_genre_hip-hop,music_genre_jazz,music_genre_rock,music_genre_tibetian throat singing,hogwarts_gryffindor,hogwarts_hufflepuff,hogwarts_ravenclaw,hogwarts_slytherin,fav_pet_birds,fav_pet_cats,fav_pet_dogs,fav_pet_fish,fav_pet_horses,fav_pet_reptiles,fav_pet_rodents
307,33.0,male,married,rock,Carving Quake 5,New York Jets,Eugene,Olson,bachelor,Went to Whale Coast College,Analysis Pacific Analysis,Works asmanager atAnalysis Pacific Analysis,"['The Godfather', 'Seven Pounds', 'Batman Begins']","['World War Z', 'Inception', 'Pirates of the Caribbean: Dead Men Tell No Tales']",Garden Spells,Lover Unbound,Chasing Perfect,Sarah Addison Allen,J.R. Ward,Susan Mallery,Basic Creole Spices ,Pork Cracklings ,Sesame Rice Noodles with Shrimp ,Hessmer,LA,1,hufflepuff,birds,Visual Novel,Tears to Tiara II: Heir of the Overlord,467,5,0.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
308,26.0,male,married,hip-hop,Puzzling Of Missle,Indianapolis Colts,Matthew,Stevens,general_education,Went to Golden Sierra High,Resource Systems,Works asconstruction_worker atResource Systems,"['Wonder Woman', 'The Twilight Saga: Breaking Dawn - Part 1', 'Justice League']","['Nightcrawler', 'Kill Bill: Vol. 2', 'Titanic']","Fablehaven: Keys to the Demon Prison (Fablehaven, #5)",Small Gods,Shadow of the Hegemon,Brandon Mull,Terry Pratchett,Orson Scott Card,Potted Cheese Spread with Crackers ,Garlic Potatoes ,Turkish Coffee ,Reed Creek,GA,2,gryffindor,fish,Strategy,Theme Hospital,739,5,0.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
309,26.0,female,married,hip-hop,Compound Over Sympathy,Jacksonville Jaguars,Sylvia,Alvarez,master,Went to Faith Institute,Contract Signal Atlantic,Works asmanager atContract Signal Atlantic,"['Saw VI', 'Life', 'The Shortcut']","['Night at the Museum: Secret of the Tomb', 'Zootopia', 'El bar']",De vita Caesarum ,Half a War,The Firebird,"Suetonius, Michael Grant, Robert Graves",Joe Abercrombie,Susanna Kearsley,Creole-Spiced Shrimp ,Poached Eggs in Pipérade ,Italian Stuffed Mushrooms ,Fort Towson,OK,3,ravenclaw,dogs,Visual Novel,Tears to Tiara II: Heir of the Overlord,0,2,0.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
310,27.0,female,married,electronic,Estranged Psycho 667,Denver Broncos,Elizabeth,Engelhardt,general_education,Went to Paramount School,Vision Atlantic,Works asbus_driverrepairperson atVision Atlantic,"['Terminator 2: Judgment Day', 'The Circle', 'Ghost in the Shell']","['Dunkirk', 'Braveheart', 'O Auto da Compadecida']",The Diamond Throne,Winter Street,Bitterblue,David Eddings,Elin Hilderbrand,Kristin Cashore,Trouble in Paradise ,Baklava ,Four Seasons Blend ,Omao,HI,2,slytherin,cats,Action,Grand Theft Auto V,0,2,0.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
311,31.0,male,single,folk,Heated 715,Miami Dolphins,David,Strong,general_education,Went to Grapevine Institute,Analysis Adventure,Works aswaiter atAnalysis Adventure,"['Pirates of the Caribbean: On Stranger Tides', 'The Green Mile', 'The Curious Case of Benjamin Button']","['Thor: The Dark World', 'Ghostbusters', 'The Scorpion King: Rise of a Warrior']",The Enemy,The Black Arrow: A Tale of the Two Roses,Sixth Grave on the Edge,Lee Child,Robert Louis Stevenson,Darynda Jones,Romeo's Sighs and Juliet's Kisses ,Greek Yogurt Ice Cream ,Minted Lettuce Soup ,Marlboro Meadows,MD,4,hufflepuff,horses,Strategy,Command & Conquer: Red Alert,0,3,0.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
312,45.0,male,single,tibetian throat singing,,Arizona Cardinals,Francis,Combs,master,Went to Eagle Mountain College,Future Design Analysis,Works asengineer atFuture Design Analysis,"['The Visit', ""Michael Jackson's Thriller"", ""Child's Play 3""]","['Sleight', 'Nightcrawler', 'The Lion King']",Fantasy Lover,The Collected Poems,Danse Macabre,Sherrilyn Kenyon,"Sylvia Plath, Ted Hughes",Stephen King,30-Minute Rice Pudding with Dried Fruit ,French Pickled Garlic ,Cranberry Bars ,Paxville,SC,3,hufflepuff,fish,Visual Novel,Psycho-Pass: Mandatory Happiness,0,12,1.0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
313,61.0,male,single,classical,Johann Sebastian Bach,Atlanta Falcons,Gregory,Warner,general_education,Went to Long Beach School,Future Design Architecture,Works ascook atFuture Design Architecture,"['The Hobbit: The Battle of the Five Armies', 'Inception', 'Alien']","['Mighty Aphrodite', 'Meet the Parents', 'Metegol']",Get Shorty,Against All Enemies,When Will Jesus Bring the Pork Chops?,Elmore Leonard,"Tom Clancy, Peter Telep",George Carlin,Baked Rigatoni alla Norma ,Blenton ,Veggie Burgers With Zucchini and Corn ,Mooreton,ND,2,hufflepuff,reptiles,Racing,Need for Speed Underground 2,0,34,1.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
314,16.0,female,single,heavy metal,Nameless Noise,Chicago Bears,Amelia,Isom,none,Goes to Independence Technical School,unemployed,,"['The Twilight Saga: New Moon', 'Pirates of the Caribbean: The Curse of the Black Pearl', 'Twilight']","['Sausage Party', 'The Amazing Spider-Man 2', ""Legend of the Guardians: The Owls of Ga'Hoole""]",M.C. Escher: grafiek en tekeningen,Крейцерова соната,Plateforme,"M.C. Escher, Bruce Brooks Pfeiffer","Leo Tolstoy, Isai Kamen, Doris Lessing",Michel Houellebecq,Greek Yogurt Ice Cream ,Red Lentil Soup with Garam Masala ,Red Pepper Sauce ,Society Hill,SC,2,hufflepuff,fish,Action,Grand Theft Auto: Vice City,0,4,0.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
315,36.0,male,married,classical,Johann Strauss II,Miami Dolphins,Anthony,Gonzalez,general_education,Went to Edgewater Technical School,Vision Hardware,Works aspainter atVision Hardware,"['Avatar', 'The Hunger Games: Catching Fire', 'Iron Man']","['What the Health', 'Comedian', 'Video Games: The Movie']",Room,We Never Asked for Wings,M.C. Escher: grafiek en tekeningen,Emma Donoghue,Vanessa Diffenbaugh,"M.C. Escher, Bruce Brooks Pfeiffer",Grilled Leg of Lamb with Spiced Mustard and Rosemary ,Breakfast Bowl With Quinoa and Berries ,Steak Salad with Caraway Vinaigrette and Rye Croutons ,Yorkville,NY,4,slytherin,fish,Visual Novel,Utawarerumono: Mask of Truth,0,7,0.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
316,31.0,female,single,electronic,Waning Financial,Minnesota Vikings,Josie,Wilson,general_education,Went to Enterprise School,Direct Resource Signal,Works asconstruction_worker atDirect Resource Signal,"['The Scorpion King: Rise of a Warrior', 'Shrek', 'Suicide Squad']","['Jackie Brown', 'Forget Paris', 'Sweet November']",Team of Rivals: The Political Genius of Abraham Lincoln,Money,Elizabeth Street,"Doris Kearns Goodwin, Suzanne Toren",Martin Amis,Laurie Fabiano,Salted Honey and Chocolate Bark ,Iced Irish Coffee ,Sweet Potato Pie with Brown Sugar and Nutmeg ,Eagle Butte,SD,3,hufflepuff,fish,Shooter,Call of Duty: Black Ops,0,7,0.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
317,36.0,female,married,folk,121 Ocean,Dallas Cowboys,Debra,Webb,general_education,Went to Enterprise School,Federated Building Studio,Works asconstruction_worker atFederated Building Studio,"[""We're the Millers"", 'Amateur Night', 'Paul Blart: Mall Cop 2']","['Wonder Woman', 'Justice League', 'Ghostbusters']",Legion,Anna and the French Kiss,Black Powder War,Brandon Sanderson,Stephanie Perkins,Naomi Novik,Radicchio and Red-Wine Rissoto ,Asparagus Mimosa ,Pann Bagnat ,Verdi,CA,3,gryffindor,horses,Puzzle,Pac-Man Collection,327,9,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
318,8.0,female,single,folk,Talk 1,Pittsburgh Steelers,Beatrice,Daigle,none,Goes to Independence Elementary,unemployed,,"['Inception', 'Guardians of the Galaxy Vol. 2', 'The Hunger Games: Mockingjay - Part 2']","['Coyote Ugly', 'Along Came Polly', 'Vertigo']",Little House on Rocky Ridge,Divine Madness,How to Build a Girl,"Roger Lea MacBride, David Gilleece",Robert Muchamore,Caitlin Moran,Dark Chocolate and Cardamom Ice Cream ,Honeyed Prawns & Polenta ,Roasted Onions With Vinegar ,Minneola,KS,4,slytherin,dogs,Music,Guitar Hero Live,0,3,0.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
319,31.0,male,married,tibetian throat singing,,Seattle Seahawks,Michael,Wilbanks,general_education,Went to Waterfalls Technical School,Electronics Building Medicine,Works asconstruction_worker atElectronics Building Medicine,"['Sin City: A Dame to Kill For', 'Jurassic World', 'Sleight']","['Hacksaw Ridge', 'The Bourne Identity', 'Equals']",The Power of a Praying Woman,Enna Burning,紳士同盟† 1,Stormie Omartian,Shannon Hale,Arina Tanemura,Egg Tacos with Pumpkin-Seed and Tomato-Habanero Sauces ,Double Strawberry Ice Cream Pie ,Shrimp Butter Toasts ,Warminster Heights,PA,1,hufflepuff,cats,Music,Just Dance 2015,0,3,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
320,26.0,female,married,folk,W Analogy,Detroit Lions,Maxine,Faines,bachelor,Went to Trinity University,Solutions North Galaxy,Works asmanager atSolutions North Galaxy,"['Bowling for Columbine', 'Deep Water', 'The Pixar Story']","['Tremors', 'Wrong Turn 2: Dead End', 'Anaconda']",Fallen Crest High,Forest Mage,Riptide,Tijan,Robin Hobb,"Douglas Preston, Lincoln Child","Vegetable ""Spaghetti"" ",Four-Cheese Pasta with Cauliflower ,Upside-Down Pear Gingerbread Cake ,Balta,ND,3,slytherin,rodents,Fighting,WWF SmackDown!,0,4,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
321,26.0,female,single,electronic,P.K.Q.M.Z.,Miami Dolphins,Sharon,Bergman,general_education,Went to Central High,Star Signal,Works aspainter atStar Signal,"['Fantastic Four', 'Minority Report', 'Rise of the Planet of the Apes']","['Aladdin', 'Along Came Polly', 'Meet the Parents']",All the Ugly and Wonderful Things,I Shall Wear Midnight,My Soul to Take,Bryn Greenwood,Terry Pratchett,Rachel Vincent,"Southern ""Barbecue"" Shrimp ",Filet of Beef Tournelle ,Arugula and Fontina Frittata ,Aiken,SC,1,hufflepuff,cats,Simulation,The Sims 4,0,1,0.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
322,41.0,female,single,hip-hop,J Skanking,Baltimore Ravens,Eva,Poston,master,Went to Silverleaf University,Graphics Federated Solutions,Works assoftware_developer atGraphics Federated Solutions,"['Blade Runner', 'War of the Worlds', 'The Dark Knight Rises']","['Sleight', 'War for the Planet of the Apes', 'Ant-Man']",I Hunt Killers,The End of the Affair,ラブ★コン 1,Barry Lyga,"Graham Greene, Monica Ali","Aya Nakahara, Pookie Rolf",Matelote Bourguignonne ,Brocollini with Pecan Brown Butter ,Crispiest Potato Chips ,Hopkins,MN,4,hufflepuff,birds,Adventure,Tomb Raider II,0,12,0.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
323,28.0,female,married,tibetian throat singing,,San Francisco 49ers,Natalie,Calhoun,bachelor,Went to Winterville Institute,Software Design,Works assoftware_developer atSoftware Design,"['The Fate of the Furious', 'The Lord of the Rings: The Return of the King', 'The Lord of the Rings: The Two Towers']","['Fatal Attraction', 'The English Patient', 'The Last of the Mohicans']","The Wheel of Time: Boxed Set #1 (Wheel of Time, #1-3)",City of Bones,My Booky Wook,Robert Jordan,Cassandra Clare,Russell Brand,Chili con Queso ,Tea Scones ,Grandma-Style Pizza Dough ,Mingus,TX,1,slytherin,birds,Strategy,Theme Hospital,258,4,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
324,37.0,female,married,classical,Johannes Brahms,Pittsburgh Steelers,Jennifer,Gresham,general_education,Went to Granite Bay School,Data Systems South,Works aspainter atData Systems South,"['Stories We Tell', 'The Captains', 'Indie Game: The Movie']","['The Dark Tower', 'The Fate of the Furious', ""Pirates of the Caribbean: At World's End""]",Hold Tight,,Soul Music,Harlan Coben,H.M. Ward,Terry Pratchett,"Multi-Grain Penne with Hazelnut Pesto, Green Beans, and Parmesan ",Shrimp Risotto with Fresh Herb Butter ,Salad-Topped Pizza ,Bardmoor,FL,2,ravenclaw,dogs,Action-Adventure,Assassin's Creed III,0,8,1.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
325,39.0,female,single,electronic,F.K. Lord,Dallas Cowboys,Hilda,Montiel,master,Went to Silverleaf University,West Studio Contract,Works aslawyer atWest Studio Contract,"['The Belko Experiment', 'Seed of Chucky', 'Jaws 3-D']","['Alien', 'Avengers: Age of Ultron', 'The Purge']",,,The Prime of Miss Jean Brodie ,"René Descartes, Donald A. Cress","Larry Bossidy, Ram Charan, Charles Burck",Muriel Spark,Fried Banana Ravioli with Vanilla Custard Sauce ,Egg and Avocado Breakfast Sandwich ,Broccoli with Wild Mushrooms ,Mecosta,MI,1,slytherin,dogs,Sports,FIFA 18,0,6,0.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
326,25.0,female,married,folk,Fart Of Cuban,Carolina Panthers,Angela,Enos,student,Studies at Columbus College,unemployed,,"['Arrival', 'Sicario', 'The Shining']","['Ice Age: The Meltdown', 'Ghostbusters', 'Toy Story 3']",Ten Little Niggers,Lullabies for Little Criminals,Broken,Agatha Christie,Heather O'Neill,Kelley Armstrong,Cuba Libre ,Roasted Winter Squash and Parsnips with Maple Syrup Glaze and Marcona Almonds ,Lime Fool with Strawberries and Kiwi ,Searsboro,IA,3,slytherin,reptiles,Action-Adventure,Red Dead Redemption 2,0,5,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
327,44.0,male,married,hip-hop,Slippy Of Mandrill,Oakland Raiders,Samuel,Webb,bachelor,Went to Waterford College,Interactive Future Net,Works aswriterat Interactive Future Net,"['Batman & Robin', ""Pirates of the Caribbean: Dead Man's Chest"", 'The Mummy Returns']","['9 Songs', 'Forgetting Sarah Marshall', '(500) Days of Summer']",The Dead and the Gone,"Scott Pilgrim, Volume 5: Scott Pilgrim Vs. the Universe",Seven Ancient Wonders,Susan Beth Pfeffer,Bryan Lee O'Malley,Matthew Reilly,Mixed Green Salad with Roquefort Vinaigrette ,Bread Pudding Pancakes ,Ripe Olive and Goat Cheese Toasts ,Wilson,NC,3,hufflepuff,rodents,Visual Novel,Psycho-Pass: Mandatory Happiness,317,11,1.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
328,26.0,female,married,classical,Edvard Grieg,Tennessee Titans,Michele,Hepfer,bachelor,Went to Sandalwood University,Hardware Internet,Works asjournalistat Hardware Internet,"['The Purge', 'Self/less', 'Dawn of the Planet of the Apes']","['Walled In', 'The Conjuring 2', 'Saw']",The Universe in a Nutshell,The Crown Tower,Mastiff,Stephen Hawking,Michael J. Sullivan,Tamora Pierce,Celery Root Purée ,Lamb Burgers in Pita with Yogurt Sauce ,Grilled Chicken with Edamame Skordalia ,Snover,MI,1,ravenclaw,rodents,Strategy,Theme Hospital,476,6,0.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
329,49.0,male,single,heavy metal,Earth Eden,Dallas Cowboys,William,Greenlee,general_education,Went to Seacoast University,Virtual Electronics Innovation,Works ascook atVirtual Electronics Innovation,"['We Steal Secrets: The Story of WikiLeaks', 'Project Nim', 'The Matrix Revisited']","['Mighty Aphrodite', 'True Romance', '(500) Days of Summer']",Alert,The Girl Who Chased the Moon,Shaman's Crossing,"James Patterson, Michael Ledwidge",Sarah Addison Allen,Robin Hobb,Pickled Cucumbers ,Roasted Peaches with Ricotta Buttercream and Breadcrumbs ,Red Mullet Baked in Grape (Vine) Leaves ,Newton,NC,3,ravenclaw,dogs,MMO,The Elder Scrolls Online,0,17,1.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
330,43.0,male,single,folk,Ceramic Overfed,Buffalo Bills,Keith,Manley,bachelor,Went to Columbus College,Solutions Bell Virtual,Works aswriterat Solutions Bell Virtual,"['Harry Potter and the Prisoner of Azkaban', 'Addams Family Values', 'Maleficent']","['Minority Report', 'Star Trek Beyond', 'Fantastic Four']",Make Me,The Lathe of Heaven,"Hyperspace: A Scientific Odyssey Through Parallel Universes, Time Warps, and the Tenth Dimension",Lee Child,Ursula K. Le Guin,Michio Kaku,Pineapple Sangria ,Plain Genoise ,Tomatoes with Cream ,Slatedale,PA,1,slytherin,cats,MMO,Final Fantasy XIV Online,0,5,0.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
331,8.0,female,single,classical,Claude Debussy,Atlanta Falcons,Eleanore,Avent,none,Goes to Horizon Kindergarten,unemployed,,"['Chappie', 'Chappie', 'Terminator 2: Judgment Day']","['Fury', 'The Amazing Spider-Man', 'Thor: The Dark World']",Zomerhuis met zwembad,The Wretched of Muirwood,Wideacre,Herman Koch,Jeff Wheeler,Philippa Gregory,Orange-Lemon Pudding Cakes ,Grilled Shrimp with Fiery Lemongrass-Chile Sambal ,Sourdough Pancakes Gilbert ,Pleasant Grove,UT,4,ravenclaw,birds,Visual Novel,Steins;Gate,0,2,0.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
332,33.0,male,married,heavy metal,Grind Rage,Oakland Raiders,Matthew,Gooden,bachelor,Went to Heritage Institute,Power Graphics,Works asnurseat Power Graphics,"['World War Z', '28 Days Later', 'The Purge']","['Jupiter Ascending', 'DragonHeart', 'Thor']",The Shell Seekers,Fatal Voyage,The Little Friend,Rosamunde Pilcher,Kathy Reichs,Donna Tartt,Venison Stew ,Chunky Almond Oil ,Stir-Fried Bok Choy ,Grand Beach,MI,2,slytherin,reptiles,Visual Novel,Fate/hollow ataraxia,559,7,0.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
333,40.0,male,married,tibetian throat singing,,Houston Texans,Jonathan,Bercegeay,general_education,Went to East Shores Technical School,Pacific Resource,Works aswaiter atPacific Resource,"['Forget Paris', 'Top Gun', 'Top Gun']","['Citizenfour', 'Easy Riders, Raging Bulls', 'Deep Water']",Masumiyet Müzesi,Steelheart,Sult,"Orhan Pamuk, Maureen Freely",Brandon Sanderson,"Knut Hamsun, George Egerton",Sparkling Lemon Cocktail ,Simple Veal Pasta Sauce ,Frozen Honeydew Margaritas ,Marblemount,WA,3,ravenclaw,reptiles,Role-Playing,The Elder Scrolls V: Skyrim,955,8,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
334,32.0,male,single,folk,Nobody Of Shafted,Cincinnati Bengals,Craig,Cox,general_education,Went to Willow Park High,Net General,Works aspainter atNet General,"['Food, Inc.', 'Supersonic', 'What the #$*! Do We (K)now!?']","['Iron Man 3', 'Jupiter Ascending', 'Blade Runner']",Food: A Love Story,Seize the Night,The Feminine Mystique,Jim Gaffigan,Sherrilyn Kenyon,"Betty Friedan, Anna Quindlen",Shrimp and Watermelon Salad ,Lemon Cloud ,"Grilled Street Corn Salad with Cilantro Butter Shrimp, Pico de Gallo and Avocado Purée ",Butters,NC,4,hufflepuff,horses,Music,Just Dance 4,0,5,0.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
335,40.0,male,married,country,To Banning Canopy,Indianapolis Colts,Michael,Berland,general_education,Went to Apple Valley School,Pacific Speed Bell,Works asconstruction_worker atPacific Speed Bell,"['Despicable Me 2', 'Girls Trip', 'Addams Family Values']","['功夫瑜伽', 'Birdman', 'The House']",Slated,"Scott Pilgrim, Volume 1: Scott Pilgrim's Precious Little Life",Chosen: A House of Night Novel,Teri Terry,Bryan Lee O'Malley,"P.C. Cast, Kristin Cast",Vietnamese Chicken Sandwich (Banh Mi) ,Butter Rum Caramels ,Lamb Stew with Turkish Flavors ,Russiaville,IN,2,gryffindor,fish,Adventure,Tomb Raider III: Adventures of Lara Croft,506,10,1.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
336,21.0,male,single,country,Rash Adoration And The Noodle,Washington Redskins,Thomas,Corrigan,master,Went to Pioneer University,Vision Federated Building,Works aslawyer atVision Federated Building,"['Captain America: The First Avenger', 'Insurgent', 'Avengers: Age of Ultron']","['Dark Skies', 'Wish Upon', 'Fatal Attraction']",Big Stone Gap,"Alas, Babylon",The Innocent,Adriana Trigiani,Pat Frank,David Baldacci,Sweet Potato Shepherd's Pie ,Lemon Curd Marbled Cheesecake ,Peas with Celery Root ,Kettering,OH,1,ravenclaw,rodents,Platform,Crash Bandicoot 2: Cortex Strikes Back,0,1,0.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
337,22.0,female,married,electronic,434 Flock,Chicago Bears,Sandy,Hughes,general_education,Went to East Bridge Secondary School,Solutions Electronics,Works aswaiter atSolutions Electronics,"['Iron Sky', 'Paul Blart: Mall Cop 2', 'The Lego Batman Movie']","['Meet the Parents', 'The Bad Batch', 'The Bad Batch']",,Pulled,The Crying of Lot 49,Bella Forrest,"Amy Lichtenhan, A.L. Jackson",Thomas Pynchon,Corn Fritters with Spicy Zucchini Salsa ,Lamb Stew with Lemon and Figs ,Pea Salad with Radishes and Feta Cheese ,Protection,KS,3,ravenclaw,birds,Action-Adventure,The Last of Us,896,4,0.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
338,23.0,male,single,heavy metal,Earth Eden,San Francisco 49ers,Christopher,Bell,bachelor,Went to Heritage Institute,Electronic Data Max,Works asjournalistat Electronic Data Max,"['Paul Blart: Mall Cop 2', 'The Big Sick', 'In a Heartbeat']","['Psycho', 'Factory Girl', 'La chiave']",Black Sun Rising,The Scarlet Letter,True Colors,C.S. Friedman,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",Kristin Hannah,Raspberry-Lemon Heart Cakes ,Wild Mushroom Risotto ,Twice-Baked Butternut Squash With Parmesan Cream and Candied Bacon ,Mooresboro,NC,3,ravenclaw,birds,Role-Playing,The Witcher 3: Wild Hunt,0,6,0.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
339,21.0,female,single,country,Swindler X.D.,Detroit Lions,Ellen,Fredrick,general_education,Went to Edgewater Technical School,Studio Net Federated,Works ascook atStudio Net Federated,"['The Lost City of Z', 'Batman v Superman: Dawn of Justice', 'The Lord of the Rings: The Return of the King']","['千と千尋の神隠し', 'Jupiter Ascending', ""Legend of the Guardians: The Owls of Ga'Hoole""]",The Magic Strings of Frankie Presto,Takedown Twenty,"Julie & Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen",Mitch Albom,Janet Evanovich,Julie Powell,Artichoke and Eggplant Panini ,Parsleyed Zucchini ,Red Velvet Whoopie Pies ,St. Mary,MO,4,slytherin,dogs,Simulation,The Sims: Unleashed,0,4,0.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
340,31.0,male,married,tibetian throat singing,,Arizona Cardinals,Harry,Stater,bachelor,Went to Somerset School of Fine Arts,Star Bell Venture,Works associal_workerat Star Bell Venture,"['The Lost City of Z', 'Nightcrawler', 'Fifty Shades of Grey']","['The Dark Knight', 'Fifty Shades of Grey', 'Underworld']",Second Honeymoon,Queen Song,Brother Odd,"James Patterson, Howard Roughan",Victoria Aveyard,Dean Koontz,Coffee S'mores Pie ,Orange Chicken ,Grapefruit Chermoula ,Farmington,CA,2,hufflepuff,rodents,Shooter,Call of Duty: Black Ops II,937,7,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
341,21.0,female,married,rock,P.C. Disability,Tennessee Titans,Joyce,Hoffman,master,Went to Trinity University,East Studio Network,Works asaccountant atEast Studio Network,"['28 Days Later', 'Saw VI', 'Session 9']","['The A-Team', 'Minions', 'Trainwreck']",Six Easy Pieces: Essentials of Physics Explained by Its Most Brilliant Teacher,The Magic of Reality: How We Know What's Really True,Murder in the Calais Coach,Richard Feynman,"Richard Dawkins, Dave McKean",Agatha Christie,Roast Beef Stock ,White Chocolate Mousse ,Zombie II ,Hamilton,VA,1,slytherin,reptiles,Sports,FIFA 19,954,5,0.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
342,24.0,male,married,jazz,P.P. Bulk,St Louis Rams,Luther,Thompson,general_education,Went to Copper Cove Charter School,Vision Contract Analysis,Works ascook atVision Contract Analysis,"['Back to the Future', 'Gravity', 'Captain America: The First Avenger']","['Pirates of the Caribbean: Dead Men Tell No Tales', 'Guardians of the Galaxy Vol. 2', 'Wonder Woman']",,Slated,,نور عبدالمجيد,Teri Terry,Fannie Flagg,Chicken and Sausage Gumbo ,Feta Walnut Date Cigars ,Strawberry Conserve ,Kingstree,SC,3,hufflepuff,rodents,Action-Adventure,The Last of Us,69,6,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
343,10.0,female,single,tibetian throat singing,,Indianapolis Colts,Connie,Atkins,none,Goes to Horizon Kindergarten,unemployed,,"['Deadpool', 'Spider-Man', 'Logan']","['School of Rock', 'Shrek', 'The Hangover Part II']",Dexter by Design,My Life with the Walter Boys,Where You Are,Jeff Lindsay,"Ali Novak, Fallzswimmer",Tammara Webber,"Cannellini and Macaroni Salad with Grilled Tomatoes, Basil, and Olives ",Grilled Lamb Kebabs With Turkish Flavors ,Parsnip and Cheddar Soufflé ,St. David,IL,3,gryffindor,dogs,Visual Novel,Steins;Gate,0,3,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
